plot,BACS,YEAR,Shrub,area_large_pines,area_small_pines,herb_gc_perc,pine_species,years_since_burn,Burn_Season,Stand_age,hardwood_cov_perc
EXP1_4_2010,0,2010,40.875,1252.075,67.9025,71,BL,4,NGS,51,23.21428571
EXP10_4_2009,0,2009,38.75,101.265,149.15,86.25,BL,8,NGS,64,56.25
EXP10_4_2010,0,2010,50,229.22,100.0875,60.75,BL,9,NGS,65,26.25
EXP11_4_2009,0,2009,50.375,177.41,166.0275,25.125,BL,8,NGS,64,15.71428571
EXP11_4_2010,0,2010,61.875,133.0575,295.945,25.625,BL,9,NGS,65,39.58333333
EXP12_4_2009,0,2009,79.375,44.3525,387.79,0.375,PD,3,NGS,62,28.75
EXP12_4_2010,0,2010,62.5,44.3525,567.1625,2.625,PD,4,NGS,63,34.82142857
EXP13_4_2009,0,2009,38.75,71.0425,615.44,1.375,BL,3,NGS,62,21.875
EXP13_4_2010,0,2010,68.125,115.395,719.06,8.375,PD,4,NGS,63,19.64285714
EXP14_4_2009,0,2009,71.25,266.115,201.3525,4.875,BL,4,NGS,62,3.571428571
EXP14_4_2010,1,2010,62.5,246.8825,352.0725,14.25,BL,5,NGS,63,13.33333333
EXP15_4_2009,0,2009,11.5,145.6175,312.43,43.625,BL,8,GS,62,0
EXP15_4_2010,0,2010,38.75,317.925,494.9425,46.625,BL,9,GS,63,9.166666667
EXP16_4_2009,0,2009,48.75,452.5525,96.1625,37,BL,8,GS,62,8.333333333
EXP16_4_2010,0,2010,50,711.995,73.005,65.25,BL,9,GS,63,8.333333333
EXP17_4_2009,0,2009,36.25,424.2925,47.1,47,BL,8,GS,62,0
EXP17_4_2010,0,2010,68.125,538.1175,32.185,44,BL,9,GS,63,6.666666667
EXP18_4_2009,0,2009,73.125,405.06,255.125,1.875,PD,7,NGS,65,3.125
EXP18_4_2010,0,2010,79.375,431.75,300.655,7.625,PD,8,NGS,66,6.25
EXP19_4_2009,0,2009,85,44.3525,525.5575,0,BL,7,NGS,65,12.5
EXP19_4_2010,0,2010,79.375,44.3525,819.1475,0.625,PD,8,NGS,66,0
EXP2_4_2009,0,2009,56.25,821.895,102.835,40.5,BL,3,NGS,50,5
EXP2_4_2010,0,2010,67.5,1104.495,160.14,31.5,BL,4,NGS,51,0
EXP20_4_2009,0,2009,94.375,145.6175,157,0.75,PD,7,NGS,65,14.58333333
EXP20_4_2010,0,2010,73.75,374.8375,481.5975,11.5,PD,8,NGS,66,1.923076923
EXP21_4_2009,0,2009,79.375,0,522.4175,1,PD,2,NGS,65,0
EXP21_4_2010,0,2010,73.75,0,637.42,6.625,PD,3,NGS,66,6.25
EXP22_4_2009,0,2009,73.75,186.4375,80.4625,0,BL,2,NGS,65,23.21428571
EXP22_4_2010,0,2010,56.25,332.055,146.4025,2.625,BL,3,NGS,66,31.96969697
EXP23_4_2009,0,2009,45,463.5425,185.26,2.875,LL,2,NGS,65,28.84615385
EXP23_4_2010,0,2010,50.625,463.5425,262.975,49.625,PD,3,NGS,66,31.08974359
EXP3_4_2009,0,2009,37.5,790.1025,9.8125,5.25,BL,4,NGS,64,32.14285714
EXP3_4_2010,0,2010,56.25,1096.2525,9.8125,13.625,BL,5,NGS,65,31.38888889
EXP4_4_2009,0,2009,7.5,784.6075,109.9,13.875,BL,4,NGS,64,25
EXP4_4_2010,0,2010,12.5,792.065,0,67.125,BL,5,NGS,65,69.31818182
EXP5_4_2009,0,2009,25,646.84,5.1025,4.625,BL,4,NGS,64,22.61904762
EXP5_4_2010,0,2010,33.75,1249.3275,0,11.75,BL,5,NGS,65,21.25
EXP6_4_2009,0,2009,34.375,202.1375,223.3325,1.625,BL,8,NGS,68,13.39285714
EXP6_4_2010,0,2010,36.875,202.1375,229.6125,24,BL,9,NGS,69,23.88888889
EXP7_4_2009,0,2009,73.125,670.7825,68.6875,16,BL,8,NGS,68,20.83333333
EXP7_4_2010,0,2010,29,446.665,209.2025,23.125,BL,9,NGS,69,47.5
EXP8_4_2009,0,2009,50.625,365.025,387.005,5.125,BL,8,NGS,68,20.23809524
EXP8_4_2010,0,2010,73.75,462.365,200.5675,19.75,BL,9,NGS,69,29.16666667
EXP9_4_2009,0,2009,76.875,300.2625,77.3225,2.875,BL,8,NGS,64,55
EXP9_4_2010,0,2010,56.875,1049.9375,80.4625,29.875,BL,9,NGS,65,13.40277778
FA1B_4_2009,11,2009,22.5,436.8525,14.915,96.25,LL,2,NGS,75,0
FA1B_4_2010,11,2010,22.5,436.8525,14.915,96.25,LL,3,NGS,75,0
FB2B_4_2009,8,2009,19,300.2625,31.0075,86.875,LL,2,NGS,80,0
FB2B_4_2010,2,2010,19,300.2625,31.0075,86.875,LL,3,NGS,80,0
FC1B_4_2009,0,2009,44.375,561.275,205.2775,39,BL,8,GS,85,7.291666667
FC1B_4_2010,1,2010,44.375,561.275,205.2775,39,BL,9,GS,85,7.291666667
FD2B_4_2009,2,2009,35.375,436.8525,110.2925,66.875,BL,2,NGS,65,0
FD2B_4_2010,0,2010,35.375,436.8525,110.2925,66.875,BL,3,NGS,65,0
GD1B_4_2009,4,2009,45,44.3525,0,49.625,BL,1,GS,62,0
GD1B_4_2010,5,2010,45,44.3525,0,49.625,BL,2,GS,62,0
GT1_4_2009,5,2009,45,562.845,0,59.75,BL,0,NGS,72,10
GT1_4_2010,6,2010,45,562.845,0,59.75,BL,1,NGS,72,10
GT2_4_2009,6,2009,43.75,762.235,62.015,39,LL,2,NGS,69,2.777777778
GT2_4_2010,9,2010,43.75,762.235,62.015,39,LL,3,NGS,69,2.777777778
GT3_4_2009,14,2009,43.75,272.0025,155.8225,66.875,LL,2,NGS,69,0
GT3_4_2010,3,2010,6.5,392.5,144.8325,88.125,LL,0,NGS,70,2.5
GT4_4_2009,6,2009,25,536.155,124.03,77.5,BL,2,NGS,67,16.25
GT4_4_2010,3,2010,34.375,580.5075,108.7225,72.5,BL,0,NGS,68,0
GT5_4_2009,3,2009,15,202.53,195.8575,79,LL,0,GS,69,0
GT5_4_2010,9,2010,15,202.53,195.8575,79,LL,1,GS,69,0
GT6_4_2009,4,2009,24.75,291.235,64.37,63.5,LL,0,NGS,79,0
GT6_4_2010,5,2010,24.75,291.235,64.37,63.5,LL,1,NGS,79,0
GT7_4_2009,12,2009,31.875,145.6175,196.6425,14.5,LL,0,GS,76,0
GT7_4_2010,13,2010,31.875,145.6175,196.6425,14.5,LL,1,GS,76,0
GT8_4_2009,2,2009,19.125,310.4675,31.0075,38.5,LL,1,GS,52,0
GT8_4_2010,7,2010,19.125,310.4675,31.0075,38.5,LL,2,GS,52,0
GT9_4_2009,5,2009,20.75,456.085,0,71,LL,2,NGS,74,0
GT9_4_2010,1,2010,20.75,456.085,0,71,LL,3,NGS,74,0
HB7B_4_2009,6,2009,10.75,44.3525,305.7575,88.75,LL,3,NGS,83,0
HB7B_4_2010,5,2010,10.75,44.3525,305.7575,88.75,LL,4,NGS,83,0
HB8B_4_2009,8,2009,31.875,133.0575,445.095,77.375,LL,1,GS,82,0
HB8B_4_2010,11,2010,31.875,133.0575,445.095,77.375,LL,2,GS,82,0
HC3B_4_2009,1,2009,20,336.3725,32.185,60.5,BL,6,NGS,81,12.5
HC3B_4_2010,4,2010,20,336.3725,32.185,60.5,BL,7,NGS,81,12.5
HE2B_4_2009,7,2009,43.125,582.47,42.39,47.75,LL,4,GS,87,0
HE2B_4_2010,7,2010,43.125,582.47,42.39,47.75,LL,5,GS,87,0
KC1B_4_2009,2,2009,27.75,0,374.0525,74.25,LL,4,GS,65,0
KC1B_4_2010,8,2010,7.125,0,496.12,49.5,LL,0,GS,66,0
LE1B_4_2009,2,2009,58.75,0,633.8875,64.125,LL,4,NGS,74,0
LE1B_4_2010,3,2010,68.125,0,603.665,34.5,LL,0,NGS,75,0
MD2B_4_2009,0,2009,32.5,189.97,402.705,81.25,PD,0,GS,67,0
MD2B_4_2010,3,2010,50,189.97,401.135,46.25,PD,1,GS,68,0
MF1B_4_2009,0,2009,53.75,44.3525,217.445,46.375,LL,4,GS,74,0
MF1B_4_2010,0,2010,70.625,0,181.7275,30.375,LL,0,GS,75,0
NE1_4_2009,5,2009,15,610.73,118.9275,94.25,LL,2,NGS,82,0
NE1_4_2010,14,2010,1.625,736.7225,118.9275,92.875,LL,3,NGS,83,0
NE2_4_2009,11,2009,36.25,782.2525,62.015,80.25,LL,2,NGS,78,0
NE2_4_2010,5,2010,17.5,723.77,25.905,111.875,LL,0,NGS,79,0
NE3_4_2009,9,2009,32.5,744.5725,0,88.125,LL,2,NGS,67,0
NE3_4_2010,9,2010,14,502.7925,0,83,LL,0,NGS,68,0
NE4_4_2009,2,2009,43.125,289.2725,16.0925,53.875,LL,2,NGS,77,0
NE4_4_2010,2,2010,38.75,626.43,5.1025,71.5,LL,0,NGS,78,0
PHOTO12_4_2009,1,2009,67.5,481.205,79.6775,42.5,LL,4,NGS,64,0
PHOTO12_4_2010,2,2010,59.375,436.8525,48.2775,47.625,LL,0,NGS,65,0
PHOTO19_4_2009,1,2009,59,620.15,219.015,25.25,BL,4,NGS,71,3.125
PHOTO19_4_2010,2,2010,85,259.4425,98.91,6.25,PD,0,NGS,72,5
PHOTO22_4_2009,2,2009,50.625,204.1,32.185,49.5,BL,5,NGS,74,0
PHOTO22_4_2010,0,2010,34,159.7475,32.185,67.375,LL,0,NGS,75,0
PHOTO52_4_2009,0,2009,79.375,463.5425,145.225,16.125,BL,5,NGS,58,14.28571429
PHOTO52_4_2010,0,2010,82.5,273.5725,130.31,11.875,PD,0,NGS,59,6.25
PHOTO54_4_2009,0,2009,67.5,189.97,82.0325,20.875,LL,5,NGS,77,0
PHOTO54_4_2010,0,2010,67.5,189.97,82.0325,20.875,LL,6,NGS,77,0
PHOTO67_4_2009,1,2009,70.625,88.705,0,15,LL,4,NGS,74,16.66666667
PHOTO67_4_2010,1,2010,50.625,234.3225,0,38.625,LL,0,NGS,75,14.58333333
QA2B_4_2009,1,2009,56.875,964.3725,67.9025,40,BL,3,NGS,76,4.166666667
QA2B_4_2010,2,2010,46.25,876.4525,45.53,34,BL,0,NGS,77,6.25
RAND1_4_2009,0,2009,61.25,401.135,47.1,39,BL,10,NGS,74,8.333333333
RAND1_4_2010,0,2010,61.25,401.135,47.1,39,BL,11,NGS,74,8.333333333
RAND10_4_2009,5,2009,79.375,0,412.91,29.375,LL,4,NGS,64,0
RAND10_4_2010,1,2010,39.375,0,443.525,67.5,LL,0,NGS,65,0
RAND11_4_2009,0,2009,61.875,44.3525,137.7675,22.5,PD,2,GS,75,0
RAND11_4_2010,1,2010,61.875,44.3525,137.7675,22.5,PD,3,GS,75,0
RAND12_4_2009,0,2009,10.25,71.0425,480.42,106.25,BL,4,GS,65,25
RAND12_4_2010,5,2010,2.375,71.0425,541.2575,80.625,BL,0,GS,66,25
RAND13_4_2009,0,2009,91.25,429.395,26.2975,1.75,BL,3,GS,77,26.72619048
RAND13_4_2010,0,2010,79.375,406.63,21.195,19.125,LL,0,NGS,78,13.33333333
RAND14_4_2009,0,2009,85,44.3525,100.48,3.5,LL,4,NGS,77,10.71428571
RAND14_4_2010,0,2010,67.5,44.3525,131.095,26,LL,0,NGS,78,8.333333333
RAND15_4_2009,3,2009,35.375,390.5375,36.11,48.5,BL,4,NGS,71,5
RAND15_4_2010,0,2010,45,669.605,0,51,LL,0,NGS,72,0
RAND16_4_2009,4,2009,16.5,538.1175,189.5775,64.375,LL,1,GS,81,0
RAND16_4_2010,7,2010,16.5,538.1175,189.5775,64.375,LL,2,GS,81,0
RAND17_4_2009,3,2009,40.875,330.485,170.7375,46.625,LL,1,GS,72,5
RAND17_4_2010,3,2010,40.875,330.485,170.7375,46.625,LL,2,GS,72,5
RAND18_4_2009,1,2009,36.875,88.705,354.82,64.25,LL,1,GS,65,0
RAND18_4_2010,3,2010,36.875,88.705,354.82,64.25,LL,2,GS,65,0
RAND19_4_2009,8,2009,64.375,676.67,16.0925,33.25,LL,2,NGS,76,8.333333333
RAND19_4_2010,8,2010,31.875,637.42,25.905,84.75,LL,0,NGS,77,0
RAND20_4_2009,6,2009,25,216.66,183.69,72.375,LL,2,GS,76,0
RAND20_4_2010,4,2010,25,216.66,183.69,72.375,LL,3,GS,76,0
RAND21_4_2009,3,2009,48.75,234.3225,242.1725,11.125,BL,4,NGS,68,5
RAND21_4_2010,1,2010,45,133.0575,190.755,42.5,LL,0,NGS,69,12.5
RAND22_4_2009,3,2009,28.75,474.5325,116.5725,24.75,LL,3,GS,76,10.83333333
RAND22_4_2010,4,2010,28.75,474.5325,116.5725,24.75,LL,4,GS,76,10.83333333
RAND23_4_2009,0,2009,61.875,142.085,0,1,LL,2,GS,75,92.70833333
RAND23_4_2010,0,2010,61.875,142.085,0,1,LL,3,GS,75,92.70833333
RAND24_4_2009,0,2009,50,44.3525,186.045,29.625,BL,1,NGS,63,0
RAND24_4_2010,0,2010,50,44.3525,186.045,29.625,BL,2,NGS,63,0
RAND25_4_2009,9,2009,25,343.045,208.81,78.75,BL,1,GS,69,37.5
RAND25_4_2010,0,2010,25,343.045,208.81,78.75,BL,2,GS,69,37.5
RAND26_4_2009,0,2009,38.75,458.0475,304.1875,41.125,BL,4,GS,79,18.33333333
RAND26_4_2010,0,2010,38.75,458.0475,304.1875,41.125,BL,5,GS,79,18.33333333
RAND27_4_2009,0,2009,79.375,234.3225,95.3775,0.125,BL,4,NGS,69,6.25
RAND27_4_2010,0,2010,79.375,234.3225,95.3775,0.125,BL,5,NGS,69,6.25
RAND28_4_2009,1,2009,5.5,234.3225,96.1625,61.875,LL,0,GS,72,0
RAND28_4_2010,8,2010,5.5,234.3225,96.1625,61.875,LL,1,GS,72,0
RAND29_4_2009,0,2009,43.75,637.8125,46.315,7.5,BL,4,NGS,63,39.375
RAND29_4_2010,0,2010,45,645.6625,61.6225,24.625,BL,5,NGS,64,28.57142857
RAND30_4_2009,0,2009,54.375,909.4225,9.8125,11.125,BL,1,NGS,63,37.5
RAND30_4_2010,0,2010,54.375,909.4225,9.8125,11.125,BL,2,NGS,63,37.5
RAND31_4_2009,0,2009,61.25,349.7175,63.585,47.5,LL,4,GS,69,5
RAND31_4_2010,0,2010,56.25,292.805,68.6875,51.125,LL,0,NGS,70,4.166666667
RAND33_4_2009,0,2009,44.375,299.87,66.3325,46.375,BL,8,NGS,71,25
RAND33_4_2010,0,2010,44.375,299.87,66.3325,46.375,BL,9,NGS,71,25
RAND34_4_2009,0,2009,67.5,219.8,16.0925,46.625,LL,5,NGS,77,0
RAND34_4_2010,0,2010,51.25,219.8,46.7075,58.125,LL,0,NGS,78,0
RAND35_4_2009,0,2009,48.75,315.9625,166.0275,39.75,BL,2,NGS,77,37.5
RAND35_4_2010,0,2010,48.75,315.9625,166.0275,39.75,BL,3,NGS,77,37.5
RAND36_4_2009,4,2009,70.625,456.085,292.4125,15,LL,1,NGS,63,0
RAND36_4_2010,7,2010,73.125,482.775,373.66,20.375,LL,2,NGS,64,0
RAND37_4_2009,0,2009,79.375,0,105.19,11.625,PD,4,GS,74,0
RAND37_4_2010,3,2010,85,0,105.5825,11.875,PD,5,GS,75,6.25
RAND38_4_2009,0,2009,39.375,476.8875,187.615,24,BL,5,NGS,86,36.66666667
RAND38_4_2010,0,2010,39.375,476.8875,187.615,24,BL,6,NGS,86,36.66666667
RAND39_4_2009,5,2009,28.75,133.0575,60.445,45.75,LL,3,GS,76,5
RAND39_4_2010,6,2010,28.75,133.0575,60.445,45.75,LL,4,GS,76,5
RAND4_4_2009,0,2009,79.375,707.6775,29.4375,7.625,BL,5,NGS,86,30.05952381
RAND4_4_2010,1,2010,73.75,882.7325,81.2475,15.25,BL,0,NGS,87,25
RAND40_4_2009,1,2009,50,477.6725,158.57,29,BL,4,GS,67,12.5
RAND40_4_2010,1,2010,16.5,466.29,169.1675,61.25,BL,0,GS,68,0
RAND41_4_2009,0,2009,41.875,101.265,141.3,4.75,BL,1,GS,80,70.83333333
RAND41_4_2010,0,2010,41.875,101.265,141.3,4.75,BL,2,GS,80,70.83333333
RAND42_4_2009,0,2009,33.75,606.02,288.88,75.5,BL,3,GS,65,10.71428571
RAND42_4_2010,1,2010,33.75,606.02,288.88,75.5,BL,4,GS,65,10.71428571
RAND43_4_2009,0,2009,94.375,88.705,1457.745,0,LL,3,NGS,67,0
RAND43_4_2010,0,2010,94.375,88.705,1457.745,0,LL,4,NGS,67,0
RAND44_4_2009,0,2009,68.125,44.3525,394.855,23.625,LL,8,GS,62,15.41666667
RAND44_4_2010,0,2010,68.125,44.3525,394.855,23.625,LL,9,GS,62,15.41666667
RAND45_4_2009,6,2009,23.5,775.9725,5.1025,79.375,LL,3,GS,67,0
RAND45_4_2010,1,2010,23.5,775.9725,5.1025,79.375,LL,4,GS,67,0
RAND46_4_2009,0,2009,56.25,1060.1425,51.81,9.25,BL,2,NGS,79,43.75
RAND46_4_2010,0,2010,56.25,1060.1425,51.81,9.25,BL,3,NGS,79,43.75
RAND47_4_2009,0,2009,29.375,387.79,132.665,6.125,BL,5,NGS,86,54.88095238
RAND47_4_2010,0,2010,29.375,387.79,132.665,6.125,BL,6,NGS,86,54.88095238
RAND48_4_2009,0,2009,50,133.0575,196.25,65,LL,3,NGS,78,0
RAND48_4_2010,5,2010,50,133.0575,196.25,65,LL,4,NGS,78,0
RAND49_4_2009,1,2009,56.875,145.6175,68.295,25.5,LL,0,NGS,76,0
RAND49_4_2010,1,2010,56.875,145.6175,68.295,25.5,LL,1,NGS,76,0
RAND5_4_2009,0,2009,94.375,360.7075,236.285,0,BL,3,NGS,71,7.142857143
RAND5_4_2010,0,2010,94.375,360.7075,236.285,0,BL,4,NGS,71,7.142857143
RAND50_4_2009,0,2009,85,145.6175,329.7,1.125,LL,4,NGS,77,6.25
RAND50_4_2010,2,2010,76.875,101.265,381.1175,14.375,LL,0,NGS,78,7.142857143
RAND51_4_2009,0,2009,61.875,592.675,0,36.625,LL,1,NGS,63,0
RAND51_4_2010,1,2010,61.875,592.675,0,36.625,LL,2,NGS,63,0
RAND52_4_2009,0,2009,55.625,512.605,171.13,51.75,PD,8,NGS,71,11.9047619
RAND52_4_2010,0,2010,55.625,512.605,171.13,51.75,PD,9,NGS,71,11.9047619
RAND53_4_2009,12,2009,11.5,0,365.81,82.75,LL,1,GS,65,0
RAND53_4_2010,3,2010,11.5,0,365.81,82.75,LL,2,GS,65,0
RAND54_4_2009,0,2009,82.5,367.38,104.0125,8.625,LL,1,GS,65,0
RAND54_4_2010,0,2010,55.625,425.8625,94.2,45.875,LL,0,NGS,66,0
RAND55_4_2009,3,2009,5.25,0,244.135,13.25,LL,5,GS,69,0
RAND55_4_2010,5,2010,5.25,0,244.135,13.25,LL,6,GS,69,0
RAND56_4_2009,0,2009,56.875,1042.0875,63.1925,17.5,BL,0,NGS,66,33.33333333
RAND56_4_2010,0,2010,56.875,1042.0875,63.1925,17.5,BL,1,NGS,66,33.33333333
RAND58_4_2009,0,2009,16,1007.94,151.505,54,BL,3,GS,65,5.555555556
RAND58_4_2010,0,2010,16,1007.94,151.505,54,BL,4,GS,65,5.555555556
RAND59_4_2009,7,2009,23.75,353.6425,37.2875,74.5,BL,8,GS,73,20.83333333
RAND59_4_2010,4,2010,4,469.0375,37.2875,93.375,PD,0,GS,74,21.875
RAND6_4_2009,1,2009,61.25,288.88,53.38,12.375,BL,3,GS,71,16.66666667
RAND6_4_2010,4,2010,61.25,288.88,53.38,12.375,BL,4,GS,71,16.66666667
RAND60_4_2009,1,2009,14,122.8525,0,27.125,LL,1,GS,70,93.75
RAND60_4_2010,1,2010,14,122.8525,0,27.125,LL,2,GS,70,93.75
RAND62_4_2009,0,2009,36.875,1738.3825,0,32,BL,3,NGS,64,39.28321678
RAND62_4_2010,0,2010,36.875,1738.3825,0,32,BL,4,NGS,64,39.28321678
RAND63_4_2009,5,2009,22.5,177.41,125.2075,57.5,LL,4,GS,74,5
RAND63_4_2010,3,2010,38.75,133.0575,136.1975,73.5,LL,5,GS,75,12.67045455
RAND64_4_2009,0,2009,76.875,291.235,64.37,1.75,BL,3,GS,71,16.66666667
RAND64_4_2010,6,2010,76.875,291.235,64.37,1.75,BL,4,GS,71,16.66666667
RAND65_4_2009,0,2009,36.875,932.1875,0,21.25,LL,3,NGS,77,74.03846154
RAND65_4_2010,0,2010,41.875,460.795,0,56.625,LL,4,NGS,78,71.42857143
RAND66_4_2009,0,2009,61.875,175.055,40.82,0.5,LL,6,NGS,90,93.75
RAND66_4_2010,0,2010,61.875,175.055,40.82,0.5,LL,7,NGS,90,93.75
RAND67_4_2009,0,2009,82.5,644.0925,19.625,9.5,BL,9,NGS,74,40.83333333
RAND67_4_2010,0,2010,82.5,644.0925,19.625,9.5,BL,10,NGS,74,40.83333333
RAND68_4_2009,3,2009,33.75,715.5275,72.22,42.5,LL,2,NGS,70,3.571428571
RAND68_4_2010,5,2010,20,715.5275,56.1275,37.75,LL,0,NGS,71,3.125
RAND69_4_2009,3,2009,85.625,0,247.275,18.5,LL,4,NGS,73,0
RAND69_4_2010,3,2010,73.75,44.3525,279.46,32.75,LL,0,NGS,74,0
RAND7_4_2009,0,2009,47.75,56.9125,68.6875,27.75,BL,1,GS,71,43.75
RAND7_4_2010,0,2010,47.75,56.9125,68.6875,27.75,BL,2,GS,71,43.75
RAND8_4_2009,0,2009,28.75,122.8525,0,23.25,LL,8,GS,71,93.75
RAND8_4_2010,0,2010,28.75,122.8525,0,23.25,LL,9,GS,71,93.75
RAND9_4_2009,0,2009,34.75,405.06,37.2875,63.75,BL,0,NGS,90,34.19642857
RAND9_4_2010,0,2010,34.75,405.06,37.2875,63.75,BL,1,NGS,90,34.19642857
SC1_4_2009,0,2009,85,101.265,125.9925,6.625,LL,4,NGS,73,0
SC1_4_2010,1,2010,73.125,56.9125,106.3675,26.75,LL,0,NGS,74,0
SC2_4_2009,2,2009,79.375,680.2025,0,3.625,LL,4,NGS,57,0
SC2_4_2010,2,2010,79.375,680.2025,0,3.625,LL,5,NGS,57,0
VL1_4_2009,0,2009,68.125,675.1,90.275,37.125,BL,0,NGS,74,3.125
VL1_4_2010,2,2010,73.75,445.88,127.955,26.125,BL,1,GS,75,9.090909091
VL2_4_2009,10,2009,44.375,189.97,132.2725,12.125,LL,1,GS,75,0
VL2_4_2010,16,2010,44.375,189.97,132.2725,12.125,LL,2,GS,75,0
VL3_4_2009,1,2009,79.375,261.0125,63.1925,8.625,LL,4,GS,77,0
VL3_4_2010,3,2010,79.375,261.0125,63.1925,8.625,LL,5,GS,77,0
VL4_4_2009,2,2009,25,424.2925,68.295,45.125,LL,4,GS,80,0
VL4_4_2010,4,2010,25,424.2925,68.295,45.125,LL,5,GS,80,0
VL5_4_2009,1,2009,61.875,354.82,16.0925,25.875,LL,3,NGS,67,5
VL6_4_2009,1,2009,34.75,0,258.265,80.875,LL,4,GS,65,0
VL6_4_2010,5,2010,34.75,0,258.265,80.875,LL,5,GS,65,0
VL7_4_2009,0,2009,45,189.97,53.38,77.5,PD,4,GS,73,0
VL7_4_2010,1,2010,45,189.97,53.38,77.5,PD,5,GS,73,0
