Distance_Riparian_Buffer,Distance_Farmland,HID,overall_in,individual,EAF,Dist_Floodplain,conversion_1937_1957,conversion_1957_1974,conversion_1974_1996,evergreen_forest,overall_numeric,total_conversion
300.0,0.0,26.0,50-75%,"MIVI-3,CEOR-3,RUPH-3,PATO-2,ROMU-2,LISE-1,BETH-1,LOJA-1",23.86206896551724,0.0,0.0,0.0,0.0,0.0,4,0.0
300.0,398.03616959312,32.0,50-75%,"LOJA-1,CEOR-2,MIVI-4,ROMU-2,RUPH-2",14.133333333333333,0.0,6.009367062818058,0.0,0.0,0.0,4,6.009367062818058
300.0,506.45763562986747,46.0,50-75%,"CEOR-4,LOJA-1,MIVI-4,RUPH-2,ROMU-3,HEHI-1,BETH-1",4.342857142857143,0.0,0.0,0.0,0.0,4.884904650118028,4,0.0
300.0,337.56861230071206,48.0,25-50%,"MIVI-3,CEOR-2,RUPH-1,LOJA-1,ELUM-1,",2.666666666666667,0.0,0.0,0.0,0.0,55.44465753332918,3,0.0
300.0,203.80002069693433,50.0,50-75%,"MIVI-4,CEOR-2,RUPH-2,LOJA-2,ROMU-1,LISE-1",3.555555555555555,0.0,0.0,0.0,0.0,28.80993303842821,4,0.0
0.0,179.58577546778167,52.0,50-75%,"MIVI-4,LOJA-2,LISE-1,RUPH-2,CEOR-2,ALJU-1,PATO-1,ROMU-1",3.466666666666667,0.0,0.0,19.822245829931173,0.0,35.09406097114013,4,19.822245829931173
0.0,0.0,54.0,25-50%,"ROMU-2,CEOR-2,ALJU-1,LOJA-1,RUPH-2,LISE-2,MIVI-3",4.181818181818182,0.0,0.0,13.460142676450564,51.01532667902217,0.730730591984016,3,64.47546935547274
0.0,0.0,56.0,25-50%,"MIVI-3,ROMU-2,LISI-2,RUPH-1,LOJA-1,ARHI-1",12.6,0.0,21.336246952551463,19.812041759340957,0.037554819783225,0.0,3,41.185843531675644
0.0,86.67519140806078,58.0,25-50%,"PATO-1,LOJA-1,RUCR-1,ROMU-2,RUPH-1,MIVI-3,BETH-1,ALJU—1,CEOR-2",14.285714285714286,0.0,0.0,0.0,0.0,0.0,3,0.0
0.0,130.2656419245912,60.0,25-50%,"ROMU-1,CEOR-2,ALJU-1,MIVI-2,LISE-2,RUPH-2,PATO-1",6.588235294117647,0.0,0.0,0.0,0.0,0.0,3,0.0
0.0,76.39624267959321,62.0,50-75%,"MIVI-4,CEOR-2,RUPH-1,RUCR-2,LISE-2,PATO-1,LOJA-1,ROMU-1,ALJU-1",11.652173913043478,0.0,0.0,14.782621524383272,0.0,0.0,4,14.782621524383272
0.0,78.28861890249246,64.0,50-75%,"MIVI-4,CEOR-2,LISE-2,ROMU-2,RUCR-1,LOJA-1,RUPH-1,ALJU-1,HEHI-1",10.428571428571429,0.0,0.0,40.81125914157403,0.0,0.0,4,40.81125914157403
300.0,461.2677807889861,238.0,5-25%,"MIVI-1,LOJA-2,CEOR-3,LECU,PATO-1,PUMO-3,LISE-1,RUPH-1",9.454545454545457,300.0,0.293171120690104,98.67051384439822,0.0,81.63041249446229,2,98.96368496508832
300.0,364.24349269019734,242.0,25-50%,"CEOR-4,MIVI-2,PATO-1,HEHI-1,ALJU-1",12.0,300.0,0.0,88.89665122208785,0.0,87.99026496415209,3,88.89665122208785
300.0,281.6122037490326,244.0,25-50%,"CEOR-3,RUPH-1,LOJA-2,ROMU-2,MIVI-1",18.2,300.0,12.501488956979918,74.71807988468531,0.0,76.3795470734574,3,87.21956884166522
300.0,230.17714083789065,246.0,25-50%,"CAAC-2,PATO-1,ROMU-2,LOJA-2,MIVI-1,CEOR-2,LISE-2",12.470588235294118,300.0,38.665949093187294,0.0,0.0,31.944485345999247,3,38.665949093187294
300.0,319.20997490622847,77.0,50-75%,"ROMU-3,CAAC-3,PATO-2,PUMO-3,LISE-2,LOJA-1,ELUM-1,MIVI-2,CEOR-1,AMBR-1",5.666666666666667,0.0,13.183652683371523,44.91539455026201,0.0,7.561039711987272,4,58.09904723363353
